Last Updated At 2026-01-16T18:24:18Z
DATASOURCE (255)                              KIND              HOSTNAME                                                                        PORT OVERRIDE    ROLE
marketing-notification-master-reader          Maria             marketing-notification-master.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306     20526            marketing-notification-master-reader
marketing-notification-master-writer          Maria             marketing-notification-master.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306     20525            marketing-notification-master-writer
marketing-notification-staging-writer         Maria             marketing-notification-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306    20520            marketing-notification-staging-writer
ml-prod-maintain                              Maria             ml-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           13270            ml-prod-maintain
ml-prod-process                               Maria             ml-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10302            ml-prod-process
ml-prod-reader                                Maria             ml-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10300            ml-prod-reader
ml-prod-writer                                Maria             ml-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10304            ml-prod-writer
ml-staging-reader                             Maria             ml-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                        10402            ml-staging-reader
ml-staging-writer                             Maria             ml-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                        10400            ml-staging-writer
nominatim-alt-reader                          Postgres          nominatim-alt.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:5432                     20553            nominatim-reader
nominatim-alt-writer                          Postgres          nominatim-alt.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:5432                     20552            nominatim-writer
nominatim-main-reader                         Postgres          nominatim-main.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:5432                    20551            nominatim-reader
nominatim-main-writer                         Postgres          nominatim-main.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:5432                    20550            nominatim-writer
osm-maintain                                  Postgres          osm.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:5432                               20610            osm-maintain
pa-prod-external-pareporting                  Maria             pa-prod-external.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                  10510            pa-prod-external-pareporting
pa-prod-external-writer                       Maria             pa-prod-external.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                  10500            pa-prod-external-writer
pa-prod-internal-bi-airflow                   Maria             pa-prod-internal.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                  10509            pa-prod-internal-bi-airflow
pa-prod-internal-pareporting                  Maria             pa-prod-internal.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                  10508            pa-prod-internal-pareporting
pa-prod-internal-writer                       Maria             pa-prod-internal.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                  10502            pa-prod-internal-writer
pa-prod-legacy-writer                         Maria             172.30.0.97:3306                                                                10506            pa-prod-legacy-writer
pa-tableau-readonly                           Postgres          172.30.0.221:8060                                                               12100            pa-tableau-readonly
partnerships-pq-team                          Maria             partnerships.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      11120            partnerships-pq-team
partnerships-reader                           Maria             partnerships.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      11100            partnerships-reader
partnerships-solution-server                  Maria             partnerships.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      11121            partnerships-solution-server
partnerships-writer                           Maria             partnerships.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      11110            partnerships-writer
permanent-admin                               Redshift          stackadapt-rs-advertiser.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439     20202            permanent-admin
permanent-bi-airflow                          Redshift          stackadapt-rs-advertiser.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439     15439            permanent-bi-airflow
permanent-read-only                           Redshift          stackadapt-rs-advertiser.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439     20200            permanent-read-only
placeiq-prod-owner                            Maria             placeiq-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10604            placeiq-prod-owner
placeiq-prod-reader                           Maria             placeiq-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10600            placeiq-prod-reader
placeiq-prod-writer                           Maria             placeiq-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10602            placeiq-prod-writer
profile-summary-eng-team-admin                Maria             profile-summary.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                   11502            profile-summary-eng-team-admin
profile-summary-eng-team-read-only            Maria             profile-summary.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                   11500            profile-summary-eng-team-read-only
